;== NAME      RA           Dec        Lon         Lat     DESIGN NVISITS       TYPE SURV PRI  MJD   HA   COMMENTS ==
180+45      140.2762     41.6480    180.0000     45.0000    210 6           halo  N    7  Y2    0.0    ;added
200+45      141.8131     27.5981    200.0000     45.0000    210 12           halo  N    8  Y2   -2.0 ;
280+45      176.2945    -14.9011    280.0000     45.0000    110 12           halo  S    7  Y2    0.0 ;
 060-75      358.6977    -19.6107     60.0000    -75.0000    100 3           halo  N    7  Y2    0.0    ;
 150-75       19.8196    -13.6111    150.0000    -75.0000    100 3           halo  N    8  Y2    0.0    ;
 110-60        6.4300      2.2244    110.0000    -60.0000    100 3           halo  N    7  Y2    0.0    ;
 150-60       26.0108      0.0779    150.0000    -60.0000    100 3           halo  N    7  Y2    0.0    ;
 200-60       43.5277    -17.1759    200.0000    -60.0000    100 3           halo  N    8  Y2    0.0    ;
 080-45      343.7614      7.9514     80.0000    -45.0000    100 3           halo  N    7  Y2    0.0    ;
 160-45       38.5349     10.3532    160.0000    -45.0000    100 3           halo  N    7  Y2    1.0    ;
 TRIAND-4     41.7500     37.4168    147.0314    -19.9883    100 3    halo_stream  N    7  Y2    1.0    ;TriAnd
 TRIAND-5     13.0000     39.8668    123.0491    -23.0048    100 3    halo_stream  N    7  Y2    2.0    ;TriAnd
 PAL5-2      240.4999      6.1666     16.9900     40.1784    210 6    halo_stream  N    8  Y2    0.0    ;Pal5
 GD1-1       126.5000      0.1666    224.0640     20.9902    110 6    halo_stream  N    7  Y2    1.0    ;GD-1
 GD1-1       126.5000      0.1666    224.0640     20.9902    210 6    halo_stream  N    7  Y2    1.0    ;GD-1
 GD1-2       131.5000     11.8833    214.9732     30.7529    210 6    halo_stream  N    7  Y2   -1.0    ;GD-1
 ORPHAN-2    156.2500     15.0499    224.9287     53.9309    310 6    halo_stream  N    8  Y2    0.0    ;Orphan
 ORPHAN-2    156.2500     15.0499    224.9287     53.9309    410 6    halo_stream  N    8  Y2    0.0    ;Orphan
 ORPHAN-4    147.2500     38.0999    185.0006     50.4703    210 6    halo_stream  N    8  Y2    1.0    ;Orphan
 ORPHAN-4    147.2500     38.0999    185.0006     50.4703    310 6    halo_stream  N    8  Y2    2.0    ;Orphan
 ORPHAN-4    147.2500     38.0999    185.0006     50.4703    410 6    halo_stream  N    8  Y2    2.0    ;Orphan
 BOOTES1     210.0208     14.5005    358.0751     69.6275    310 3      halo_dsph  N    8  Y2    1.0    ;Bootes_I
 BOOTES1     210.0208     14.5005    358.0751     69.6275    410 3      halo_dsph  N    8  Y2    1.0    ;Bootes_I
 DRACO       260.0791     57.9133     86.3643     34.7074    310 3      halo_dsph  N    8  Y2   -2.0    ;Draco
 DRACO       260.0791     57.9133     86.3643     34.7074    410 3      halo_dsph  N    8  Y2   -2.0    ;Draco
 SGRT-1       80.0000     24.5000    180.6228     -7.2103    211 6    halo_stream  N    8  Y2    3.0    ;SGR_TAIL1
 034+00      283.3466      0.9506     34.0000      0.0000    320 3          disk2  N    9  Y2    0.0    ;
 034+00      283.3466      0.9506     34.0000      0.0000    420 3          disk2  N    9  Y2    0.0    ;
 034+12      272.6165      6.3748     34.0000     12.0000    110 3          disk2  N    8  Y2   -1.0    ;
 034-12      294.0431     -4.5068     34.0000    -12.0000    110 3          disk2  N    8  Y2    0.0    ;
 049+00      290.3419     14.2605     49.0000      0.0000    210 3          disk2  N    9  Y2    2.0    ;
 064+00      298.2210     27.3409     64.0000      0.0000    320 3          disk2  N    9  Y2    0.0    ;
 064+00      298.2210     27.3409     64.0000      0.0000    420 3          disk2  N    9  Y2    0.0    ;
 064-12      309.2214     20.7593     64.0000    -12.0000    210 3          disk2  N    8  Y2    1.0    ;
 079+00      308.1882     39.8618     79.0000      0.0000    210 3          disk2  N    9  Y2    2.0    ;
 079-12      319.5814     32.1493     79.0000    -12.0000    110 3          disk2  N    8  Y2    0.0    ;
 094+00      322.3797     51.1611     94.0000      0.0000    320 3          disk2  N    9  Y2   -1.0    ;
 094+00      322.3797     51.1611     94.0000      0.0000    420 3          disk2  N    9  Y2   -1.0    ;
 094+12      306.3151     58.9476     94.0000     12.0000    110 3          disk2  N    8  Y2    0.0    ;
 094-12      333.4260     41.8427     94.0000    -12.0000    110 3          disk2  N    8  Y2    0.0    ;
 109+00      344.3123     59.7467    109.0000      0.0000    110 3          disk2  N    9  Y2    3.0    ;
 109+08      335.6848     66.7601    109.0000      8.0000    110 3          disk2  N    7  Y2    0.0    ;
 109-08      349.8753     52.3671    109.0000     -8.0000    110 3          disk2  N    7  Y2    3.0    ;
 109+12      329.3235     70.0070    109.0000     12.0000    210 3          disk2  N    8  Y2    0.0    ;
 109-12      351.9968     48.6013    109.0000    -12.0000    210 3          disk2  N    8  Y2    3.0    ;
 116+00      357.9301     62.0653    116.0000      0.0000    320 3          disk2  N    9  Y2    0.0    ;
